iter	Passed	Remaining
0	0	58
1	1	51
2	1	48
3	1	44
4	2	43
5	2	42
6	3	42
7	3	42
8	4	42
9	4	42
10	5	42
11	5	41
12	6	41
13	6	40
14	7	39
15	7	39
16	7	38
17	8	37
18	8	37
19	9	37
20	9	37
21	10	37
22	11	37
23	11	36
24	12	36
25	12	35
26	12	35
27	13	34
28	13	34
29	14	33
30	14	32
31	15	32
32	15	32
33	16	31
34	16	31
35	17	31
36	18	30
37	18	30
38	19	29
39	19	29
40	19	28
41	20	27
42	20	27
43	21	26
44	21	26
45	21	25
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	24	23
52	25	22
53	25	22
54	26	21
55	26	20
56	27	20
57	27	19
58	27	19
59	28	18
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	35	11
75	36	11
76	36	10
77	37	10
78	37	10
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	45	2
94	45	2
95	46	1
96	46	1
97	46	0
98	47	0
99	47	0
